³âµµ,°ü±¤»ç¾÷ÅõÀÚ¿¹»ê(¹é¸¸¿ø),°ü±¤°´(1ºÐ±â),°ü±¤°´(2ºÐ±â),°ü±¤°´(3ºÐ±â),°ü±¤°´(4ºÐ±â),°ü±¤°´ÇÕ°è
2012,15684,1277309,4655745,8039092,1281360,15253506
2013,8415,1675211,3279512,3449586,2009567,10413876
2014,11534,1871996,2545636,3130252,2341905,9889789
2015,11283,2811761,3633204,4271424,2868886,13585275
2016,10694,2319843,3739460,4010264,3094663,13164230
2017,11729,2856897,4590341,4260906,3377027,15085171
2018,15399,2503962,3624208,4338236,3187029,13653435
2019,21689,2906612,3588275,3631103,3417209,13543199
2020,14010,1902715,1943932,2715268,2165115,8727030
2021,18063,1785219,2432872,2744554,2811050,9773695
2022,"26,091",2049422,3114111,3751166,3183930,12098629
